container_id,model,bias,actual_std,pred_std,amplitude_ratio,pearson_r,phase_lag_steps,mae,rmse,r2
c_12174,ridge,-0.07840831866229715,0.1317859920664638,0.019075080605160465,0.14474285397146233,0.17393233977687514,-18.0,0.11646270223697826,0.1516733289746603,-0.3245853193026986
c_12189,gru,0.003033286471197477,0.037696343350997544,0.0016459368634968996,0.04366303776924145,0.0866355449435662,-4.0,0.028736568150191086,0.03771171559952942,-0.0008157493009270933
c_12189,ridge,-0.0009669596180953078,0.037696343350997544,0.005057043635706809,0.13415210034086733,-0.1964768620304818,-17.0,0.02900364355672505,0.03901836206859403,-0.07137034182855784
c_12193,gru,-0.022699192694280043,0.12674603065131262,0.012752256356179714,0.10061266842558629,0.05113942711187606,-17.0,0.09832688743577388,0.12875215178357716,-0.03190628448847099
c_12193,ridge,-0.029222078653270266,0.12674603065131262,0.01889644606037355,0.14908905599070807,-0.16722512164104975,-59.0,0.10003935887060655,0.13444919761344773,-0.12524656250898114
c_12231,gru,0.06696439630537544,0.313689750349535,0.0191773921251297,0.0611349019333941,-0.35711506933041814,69.0,0.2986201028122091,0.3279480034530014,-0.09297272761880304
c_12231,ridge,0.04533193055022446,0.313689750349535,0.03773727405653984,0.1203012658669604,-0.5328149239435079,-41.0,0.31465431081083955,0.33837117798143684,-0.16355272991588232
c_12237,gru,0.3015431861358137,0.2399900532408431,0.010704674758017063,0.04460466012428581,-0.03172219258539032,-31.0,0.3019625169634179,0.385747454194736,-1.5835665495996465
c_12237,ridge,0.2900748190231014,0.2399900532408431,0.030711300854418047,0.1279690572158738,-0.1667644703821248,-47.0,0.29238752832708176,0.38097251112738495,-1.52000148597834
c_12441,gru,-0.025110226743215964,0.046564866607934324,0.0020792302675545216,0.044652340251743264,-0.1509208079983424,11.0,0.028642288405575738,0.05321989776228416,-0.3062651651686348
c_12441,ridge,-0.027179512027772672,0.046564866607934324,0.005232872611309884,0.11237812953206741,0.1043711141846356,47.0,0.029407261693516415,0.053698527238555414,-0.32986642940620214
c_12517,gru,-0.041883501824724945,0.0637695394174914,0.008349204435944557,0.1309277832678598,0.3341542613305395,-19.0,0.06252041841476103,0.0743953424583844,-0.36102133775023915
c_12517,ridge,-0.04376939063392498,0.0637695394174914,0.023739630988672315,0.37227226675187103,0.5722162257936332,0.0,0.05750583772703229,0.06937843452974543,-0.18364762679929858
c_12624,gru,-0.0010825030889623627,0.08438259174358037,0.008331071585416794,0.09872974286844659,0.04373293937038779,47.0,0.060640533130206974,0.0844364380403931,-0.0012766490320788026
c_12624,ridge,0.00033985217995676176,0.08438259174358037,0.017786527233842123,0.21078432015801743,0.26193750574814173,-16.0,0.05863546863805796,0.08155138159694583,0.0659783876419856
c_12767,gru,-0.006917574626821151,0.12586455898876414,0.011331786401569843,0.09003159024758849,-0.07533764516503023,32.0,0.10372059209997113,0.12740899938385652,-0.02469187599861633
c_12767,ridge,-0.007211886357524883,0.12586455898876414,0.022316955878364072,0.1773092922874047,0.07565181813408617,-33.0,0.10378222150350586,0.12636038208469505,-0.007894195274887661
c_12858,gru,0.0009754562591317526,0.05477289470447233,0.003298195544630289,0.06021583417173283,0.090652611490433,-25.0,0.04026511154740074,0.05458155827411839,0.006974334170847585
c_12858,ridge,-0.0017997282012535978,0.05477289470447233,0.01065581644516673,0.19454543168952979,0.09798373642555261,-1.0,0.038940162577231006,0.054794881528356154,-0.0008029970647167595
c_1286,gru,0.002297745859454695,0.14027801934540585,0.012887240387499332,0.09186927822075351,0.08487029978688607,18.0,0.09825489565533617,0.1397942303573911,0.0068856795629013146
c_1286,ridge,0.0005118409469030879,0.14027801934540585,0.032207393892400335,0.22959686801034904,0.08227307847801878,32.0,0.10059100564695007,0.14132262068458723,-0.014948752975750157
c_12971,gru,-0.014388597733421842,0.13929183336775605,0.003478260478004813,0.02497102948470472,0.03796401108613651,-17.0,0.10131238629186645,0.13994484008762847,-0.009398072626096488
c_12971,ridge,-0.010817790091500037,0.13929183336775605,0.013606301046693017,0.09768197257315064,0.18689282746937078,1.0,0.10042940298771702,0.13782581345725126,0.02093884595579054
c_12974,gru,-0.0139194046673842,0.1350679566991563,0.011769491247832775,0.08713755309149718,-0.00938617575564531,19.0,0.10703492329816983,0.13640185389979573,-0.019849027855094237
c_12974,ridge,-0.024582891157287196,0.1350679566991563,0.017498632258251868,0.1295542827913467,0.013498773133678133,12.0,0.10956442821921246,0.1381668005464474,-0.046412074016767724
