container_id,gru_pearson_r,ridge_pearson_r,delta_r_ridge_minus_gru,gru_std_ratio,ridge_std_ratio,gru_bias,ridge_bias,gru_phase_lag,ridge_phase_lag,alpha,kappa_effective
c_14416,0.14674712990766764,-0.04417942689058352,-0.19092655679825116,0.038537609502082064,0.0812862699167103,0.007249097167743721,0.003979517007962094,30.0,44.0,1.0,0.1
c_14417,0.018878445038454872,-0.020048770490612253,-0.038927215529067125,0.04483868558584797,0.08851841069471399,-0.0014075482811886503,-0.0017965832142111358,-51.0,-18.0,1.0,0.1
c_14435,-0.02291501971787438,0.020017084894847464,0.042932104612721844,0.11872969922512025,0.22854154361786758,0.0012237985423017763,-0.00018931796424885108,-12.0,-32.0,1.0,0.1
c_14471,0.03215991128966668,0.5095636831940624,0.47740377190439576,0.0339259892666477,0.17697293458754332,-0.02026819172417965,-0.02071279332146504,12.0,0.0,1.0,0.1
c_14820,0.1591538271098535,0.4796143914271507,0.3204605643172972,0.2295763090868102,0.20384937663928523,-0.005786125823471124,-0.008498033932172671,-38.0,0.0,1.0,0.1
c_14855,0.34409008867452995,0.4233001477888456,0.07921005911431567,0.11100031322365743,0.3340797511336276,-0.02983583185233334,-0.03252591372294022,1.0,0.0,1.0,0.1
c_14886,0.3065709137089426,0.35039003637884936,0.04381912266990673,0.14016335970572685,0.3105101320456728,-0.003979286257577117,-0.006999770919527054,1.0,-2.0,1.0,0.1
c_1494,-0.00549826159549259,0.16711348347526736,0.17261174507075994,0.03133169492729803,0.24486110271881298,-0.010077568159516496,-0.009224257474746781,-2.0,32.0,1.0,0.1
c_14964,-0.35593729647976824,-0.07437459074688568,0.28156270573288256,0.0323825910992057,0.08678321045747597,0.04845319388248848,0.046452103029521706,45.0,-17.0,1.0,0.1
c_15030,-0.32415788602281104,0.12467976366058565,0.4488376496833967,0.07230751175104717,0.1187653577806925,-0.1556604894375585,-0.1550096032032469,43.0,-38.0,1.0,0.1
c_15035,0.011835568125192642,0.22395419609398565,0.212118627968793,0.004981525683759753,0.04157671827380931,-0.01687230645271066,-0.019457753374919912,14.0,-1.0,0.0,0.0
c_15072,0.06774877884794253,-0.15992508206296818,-0.2276738609109107,0.03264730181050883,0.07873631072872773,-0.053246395897423054,-0.05568279121455861,65.0,62.0,1.0,0.1
c_15179,0.46185731345940023,0.6005898630186783,0.1387325495592781,0.15432510631079846,0.26824667873364005,0.07214743930397428,0.07146773335125049,0.0,0.0,1.0,0.1
c_15235,0.36779538978462023,0.35212955651169275,-0.015665833272927476,0.09378924070971206,0.18248911365414938,0.007461849225720363,0.00730154838656117,-1.0,-1.0,1.0,0.1
c_15282,0.009113209842571808,-0.10402422488445337,-0.11313743472702517,0.07240467543859667,0.1885588325135157,0.03502084277440857,0.037223277417259885,59.0,71.0,1.0,0.1
c_15420,0.36385410144776353,0.22544673124490935,-0.13840737020285418,0.043502815351857356,0.2105329498343052,0.034442911670971806,0.0489120021904105,0.0,1.0,1.0,0.1
c_15446,0.051805957428765814,0.4325883391941832,0.3807823817654174,0.014714586456033928,0.07939755087964352,-0.002084859460350702,-0.0009892364267049165,-21.0,0.0,0.0,0.0
c_15486,0.07442829115802024,-0.1354579302430407,-0.20988622140106095,0.06202370864421189,0.14937484604392848,-0.025039752392761145,-0.03928970507653231,79.0,-10.0,1.0,0.1
c_15527,0.16876802678323438,0.22705650296870175,0.05828847618546737,0.06111457550734272,0.1450906562056558,-0.11008619185661588,-0.11922158601910511,-1.0,-18.0,1.0,0.1
c_15555,0.02691990338345675,-0.025984061320185242,-0.05290396470364199,0.05236424203049437,0.1448392420862943,-0.002453645876231402,0.001588147308831056,19.0,-29.0,0.0,0.0
c_15570,0.08184389698335133,0.15291434873730295,0.07107045175395162,0.0917249331729425,0.1331696971131191,0.0021880065487692585,0.003783918950459533,25.0,30.0,1.0,0.1
c_15604,0.15957912860487994,-0.03965778610282436,-0.1992369147077043,0.017405608854819298,0.03883738018298475,-0.19061204919958774,-0.20433820488797116,1.0,-21.0,1.0,0.1
c_15616,0.08730547474125758,0.15700614511989122,0.06970067037863364,0.040285727243359985,0.1352148186059563,-0.0354444399956376,-0.03655939609972009,12.0,14.0,1.0,0.1
c_15630,-0.06274481616651188,-0.16045990300017815,-0.09771508683366627,0.014516917318303383,0.08874387207432467,0.08405231030131836,0.08136583341870639,-34.0,30.0,1.0,0.1
c_15640,0.24908001775361804,0.11932535967210642,-0.12975465808151163,0.02217943202669474,0.1320325937762284,-0.005152507019624535,-0.019061253266267834,-29.0,19.0,1.0,0.1
c_15642,0.10688365435772314,0.2042303928754564,0.09734673851773328,0.026299894309058384,0.15985518945627886,0.004188866837418699,0.00400878531625105,-5.0,-4.0,1.0,0.1
c_15647,-0.04170325670673352,0.29827832754342026,0.3399815842501538,0.07866286192887165,0.2818995227455225,0.05844461128847877,0.05500532921184775,-42.0,0.0,1.0,0.1
c_15794,-0.04020064500749699,0.2285119208936688,0.2687125659011658,0.3091452713497723,2.6104992588887987,0.009271484294857935,0.007735857484345979,12.0,-2.0,0.0,0.0
c_15856,-0.05664234376961021,0.07019850732303892,0.12684085109264914,0.05678068141148627,0.11518395243266771,-0.02396623720811845,-0.027497983606586267,-52.0,7.0,1.0,0.1
c_16008,0.09107884511786477,-0.07683418411427317,-0.16791302923213794,0.015047527962854999,0.03740081582712742,-0.29027236020066605,-0.2908420364344925,-24.0,-32.0,1.0,0.1
c_16048,0.09254883805115101,0.4260011652402732,0.3334523271891222,0.04480490894264784,0.17555615313722764,-0.04658969471487731,-0.0497950169475469,-24.0,-1.0,1.0,0.1
