sample_quantile,theoretical_quantile
-2.6503385000747257,-3.4953853715616905
-2.6461614575834504,-3.4919838855214276
-2.6428174694724245,-3.4885882372213337
-2.6378466887642897,-3.48519840134073
-2.6374041282369327,-3.481814352725124
-2.6350180031747876,-3.4784360663847265
-2.6343504859340756,-3.475063517493008
-2.633884058706295,-3.4716966813852554
-2.6331880739720104,-3.468335533557149
-2.632082778346216,-3.4649800496633665
-2.6170709716116134,-3.4616302055161756
-2.6167646417232633,-3.458285977084076
-2.6091420839975483,-3.4549473404904245
-2.6061342256730753,-3.451614272012101
-2.600255722605717,-3.4482867480781687
-2.597572806973445,-3.444964745268566
-2.5887578242703864,-3.4416482403127957
-2.5870747790065454,-3.438337210088647
-2.5857127138525575,-3.4350316316209093
-2.584102263463824,-3.431731482080129
-2.583166983931703,-3.4284367387813424
-2.580239705206705,-3.4251473791828584
-2.5799288929955653,-3.421863380885034
-2.577337379289552,-3.4185847216290615
-2.5689716978615955,-3.4153113792957814
-2.5687997476668976,-3.4120433319045
-2.5674392544174904,-3.408780557611818
-2.5656636333930085,-3.4055230347104763
-2.5642661673608336,-3.4022707416282043
-2.554081919158691,-3.399023656926603
-2.550360802626151,-3.3957817593000104
-2.5494099099006706,-3.392545027574401
-2.5485794265262998,-3.3893134407062804
-2.5463247239716953,-3.386086977781614
-2.5453828589610166,-3.382865618014739
-2.534679340070577,-3.37964934074731
-2.5329512880851706,-3.376438125447241
-2.5306935392317866,-3.373231951707673
-2.5259994175698077,-3.3700307992459333
-2.5252762369936406,-3.3668346479025257
-2.525005023405406,-3.363643477640116
-2.5232460722290813,-3.3604572685425325
-2.517482613991579,-3.3572760008137825
-2.5114542661493156,-3.354099654777071
-2.5006570864141233,-3.350928210873829
-2.495180355597292,-3.3477616496627656
-2.487484578419121,-3.3445999518189073
-2.4814987895428957,-3.3414430981326655
-2.477922974442063,-3.338291069508909
-2.4767162425647964,-3.335143846966036
-2.4764412434039285,-3.3320014116350727
-2.4691779093238417,-3.328863744758766
-2.4662157990507922,-3.3257308276906903
-2.46553874430892,-3.322602641894367
-2.465501742788352,-3.3194791689423875
-2.4620624524016828,-3.316360390515555
-2.4579250114590394,-3.3132462884020093
-2.454481493822611,-3.3101368444963972
-2.4514360725234505,-3.3070320407990224
-2.448744621000343,-3.3039318594150133
-2.440966643518916,-3.3008362825535036
-2.434239616311247,-3.297745292526808
-2.429378644711815,-3.2946588717496295
-2.42635430380557,-3.291577002738243
-2.4256221224176544,-3.2884996681097136
-2.423404039575784,-3.2854268505811124
-2.4227122179362985,-3.2823585329687313
-2.421455331566933,-3.2792946981873246
-2.4198258999844486,-3.2762353292493436
-2.4190938305260405,-3.273180409264182
-2.417654158930345,-3.2701299214374258
-2.414253775983542,-3.2670838490701213
-2.4117738804198083,-3.264042175558034
-2.403031806967379,-3.261004884390938
-2.399732478539122,-3.2579719591518734
-2.39907386498477,-3.2549433835164594
-2.3985585056098233,-3.25191914125218
