container_id,threshold,day1_steps,peak_steps,peak_fraction,prophet_peak_mae,hybrid_peak_mae,mean_residual_correction_at_peaks,peak_error_reduction,contribution_ratio
c_13166,20.725,96,6,0.0625,0.800529835171675,0.7841447475592407,0.02998080443649087,0.01638508761243429,0.020467803812609285
c_13170,31.0,96,5,0.052083333333333336,6.9137960921249455,7.027850515672296,0.11405442354734988,-0.1140544235473504,-0.016496642658764896
c_13229,12.12971014492754,96,20,0.20833333333333334,3.730321386308372,3.740334947286049,0.019106515234307155,-0.010013560977677027,-0.0026843695061852892
c_13269,3.4999999999999996,96,8,0.08333333333333333,1.2157201998256293,1.2112124459148996,0.01352457795292139,0.004507753910729662,0.003707887646660974
c_13308,0.0,96,96,1.0,0.00360597545347381,0.003489379959941173,0.00027519404582676543,0.00011659549353263722,0.03233396761486969
c_13389,47.31666666666668,96,22,0.22916666666666666,3.2933069323070017,3.415371388781179,0.2839717157132155,-0.12206445647417752,-0.037064403343866244
c_13403,3.0,96,8,0.08333333333333333,0.9849531461227562,0.9822242467335164,0.006850905172086641,0.002728899389239814,0.002770588022366403
c_13441,20.0,96,10,0.10416666666666667,1.8398896500841406,1.824334492015831,0.027721906270016916,0.015555158068309538,0.008454397288227682
c_13607,4.0,96,70,0.7291666666666666,2.5884660177715935,2.591106725120067,0.0348266760003753,-0.0026407073484735477,-0.0010201823513784928
c_13615,10.786956521739135,96,11,0.11458333333333333,5.566347707550144,5.920134899397314,0.556841707746075,-0.3537871918471698,-0.06355822712391754
c_13658,5.499999999999999,96,23,0.23958333333333334,3.540565008283581,3.54670569038608,0.023770528478290424,-0.006140682102499184,-0.001734379142349403
c_13690,5.308333333333337,96,11,0.11458333333333333,2.371995349731559,2.40773248962407,0.18474375807934204,-0.03573713989251104,-0.015066277383956696
c_1379,3.0,96,32,0.3333333333333333,0.5716709140492608,0.5676004764693485,0.009021364604677728,0.004070437579912323,0.007120246071433981
c_1387,3.4999999999999996,96,15,0.15625,0.7963193835240303,0.8116221925666536,0.0189368866791483,-0.015302809042623267,-0.019216923961968932
c_13873,4.0,96,71,0.7395833333333334,2.2708045253484492,2.275739854074904,0.01435521783152042,-0.004935328726454635,-0.0021733833411739048
c_14106,0.0,96,96,1.0,0.009411458201107234,0.009516096092824385,0.00036594135553968954,-0.00010463789171715095,-0.011118138069703222
