container_id,series,ar_order,n_forecasts,forecast_pearson_r,forecast_mae,residual_avg_abs_acf_1_10,residual_lb_reject_lag_20
c_10382,remaining_corr_z,1,105,0.2951634380157618,0.533702960900611,0.06091940665329763,0.0
c_10382,prophet_z,2,104,0.317351109367216,0.5342913038424925,0.05004190410471336,0.0
c_10382,remaining_corr_z,2,104,0.3135117520292076,0.5328938492820378,0.049516252613874115,0.0
c_10382,prophet_z,5,101,0.18058389967236732,0.5792125871914088,0.07414754832634143,0.0
c_10382,remaining_corr_z,5,101,0.1837368745704711,0.5752024007742341,0.06955588910915392,0.0
c_10393,prophet_z,1,105,0.6471532538701938,0.57339639853408,0.17407614168618593,1.0
c_10393,remaining_corr_z,1,105,0.6231645756319428,0.5589277734997421,0.2088734307809057,1.0
c_10393,prophet_z,2,104,0.6616056477479988,0.5270286900174367,0.11236219082592658,1.0
c_10393,remaining_corr_z,2,104,0.6449880007434778,0.5182519258029397,0.13882955602037822,1.0
c_10393,prophet_z,5,101,0.6532623478520403,0.5308355321469292,0.1375626407312551,1.0
c_10393,remaining_corr_z,5,101,0.6343775822905344,0.5209284307937664,0.15615862649882095,1.0
c_10641,prophet_z,1,105,0.3522513187031091,0.16767843658310164,0.07513712910603654,0.0
c_10641,remaining_corr_z,1,105,0.3928070849193943,0.17138483963087764,0.08246576216569587,0.0
c_10641,prophet_z,2,104,0.3651094458152662,0.16947645986915028,0.08143241652686602,0.0
c_10641,remaining_corr_z,2,104,0.41286688885745243,0.17192430445161674,0.08249684072553866,0.0
c_10641,prophet_z,5,101,0.280755495653383,0.1803693353950202,0.09940906398103484,0.0
c_10641,remaining_corr_z,5,101,0.37480830026031253,0.1830002472127991,0.09330546392209853,0.0
c_10695,prophet_z,1,105,0.2688464665176379,0.7592200734867377,0.06448418334453065,0.0
c_10695,remaining_corr_z,1,105,0.30895920591172543,0.7697541139685742,0.06076821985920129,0.0
c_10695,prophet_z,2,104,0.2621782928894244,0.7645370988556515,0.06599835262625434,0.0
c_10695,remaining_corr_z,2,104,0.30270562619771824,0.7770452091018506,0.06403959640351964,0.0
c_10695,prophet_z,5,101,0.25306716372106586,0.8132116222901654,0.06692425097667146,0.0
c_10695,remaining_corr_z,5,101,0.31806948477307334,0.8078837409661337,0.05711578648305227,0.0
c_10733,prophet_z,1,104,0.1329483976656129,0.9827247475755561,0.09288820862829764,0.0
c_10733,remaining_corr_z,1,104,0.18995855490183844,0.997751568377285,0.09988986247383128,0.0
c_10733,prophet_z,2,103,0.16842428672676943,1.007398083955283,0.10380179509686611,0.0
c_10733,remaining_corr_z,2,103,0.22068431657048482,1.0134880995596403,0.11023031468765081,0.0
c_10733,prophet_z,5,100,0.16661282959030443,1.013394807087139,0.10437330771523712,0.0
c_10733,remaining_corr_z,5,100,0.22872787958715107,1.017681092997867,0.10920356242561395,0.0
c_10878,prophet_z,1,105,0.3296506382690185,0.7259846404959894,0.10165528885646388,0.0
c_10878,remaining_corr_z,1,105,0.3006205266689427,0.7300686142079311,0.10445466136885036,0.0
c_10878,prophet_z,2,104,0.3445850506015645,0.7294406604870117,0.08178471033750759,0.0
c_10878,remaining_corr_z,2,104,0.321568018751334,0.7346014450827714,0.09094967181184019,0.0
c_10878,prophet_z,5,101,0.3222166359663631,0.7420047511493415,0.06267245766720897,0.0
c_10878,remaining_corr_z,5,101,0.29500823009488286,0.7423214788642397,0.06579526448953885,0.0
c_10898,prophet_z,1,105,0.3800828425943506,1.0851820891201387,0.09894545158722545,0.0
c_10898,remaining_corr_z,1,105,0.3876807421230168,1.0937512388696942,0.1004286917566514,1.0
c_10898,prophet_z,2,104,0.3630491353790059,1.0951098321836472,0.10636678141677343,0.0
c_10898,remaining_corr_z,2,104,0.37013198823514415,1.1041348153292065,0.10676517620471906,0.0
c_10898,prophet_z,5,101,0.2630407529961215,1.182475031579334,0.11698645231534903,1.0
c_10898,remaining_corr_z,5,101,0.27086504598355454,1.19395469685977,0.12244676720557841,1.0
c_11013,prophet_z,1,105,0.24076029803391685,0.46337011394165106,0.0935068572777758,1.0
c_11013,remaining_corr_z,1,105,0.2871302670283829,0.4382965739827181,0.09071154531476429,1.0
c_11013,prophet_z,2,104,0.17896312038375092,0.47608389190730027,0.10670404108734266,1.0
c_11013,remaining_corr_z,2,104,0.21109847542286,0.4550829007532779,0.10520966993810568,1.0
c_11013,prophet_z,5,101,0.20098181888351035,0.4867380078371028,0.09928686196398923,1.0
c_11013,remaining_corr_z,5,101,0.2100639605808806,0.4729855557258839,0.10429046096241153,1.0
c_11087,prophet_z,1,105,-0.0051093105588271084,0.6298134077829988,0.04251279464266487,0.0
c_11087,remaining_corr_z,1,105,0.019773009215793676,0.6715494431437338,0.037032486572179946,0.0
c_11087,prophet_z,2,104,-0.018441401649565786,0.6385888050389819,0.04386168545676551,0.0
