container_id,baseline,residual_mae,residual_rmse,residual_pearson_r,residual_r2,residual_std_ratio,day1_mae,day1_rmse,day1_mape,peak_mae,non_peak_mae
c_10878,zero,0.08187791397715026,0.10969921628872256,,-4.612115363400449e-06,3.0885722951002e-20,0.42259718137354785,0.5662234803635547,20.218573523007425,1.0724283986451804,0.3385013767854543
c_10878,persistence,0.08449509765528211,0.12196024271277997,,-0.23603711919597226,0.0,0.41138682298136414,0.5688257629289462,19.21102440888786,1.125488572973904,0.3189736553352707
c_10878,ridge,0.07990825120779654,0.10683984328058074,0.2569350667893727,0.05144735847382509,0.13645714580668128,0.4198927123772808,0.5625650117677138,20.118141050415637,1.063484216360771,0.3366044000970645
c_10898,gru,0.12684626481666628,0.16908929416459,-0.09425207978207362,-0.10059196294193762,0.03845314530066505,0.5871797631148017,0.7845175445067645,20.35008880601213,1.684873438504558,0.41525183805375543
c_10898,zero,0.12618817916492406,0.16859916691082194,,-0.09422079302378106,2.1021192639268038e-20,0.5868594636915379,0.7841172027870112,20.33308033659773,1.6846144446883653,0.41492193654745646
c_10898,persistence,0.14419737989805967,0.2047474372095796,,-0.6137307085493309,8.610280505044188e-17,0.5940945892294479,0.809992025885135,20.016587856706916,1.7614081086457558,0.41126235124858046
c_10898,ridge,0.12817922543273264,0.16702438389186428,-0.02384512387326187,-0.07387534464234546,0.10918967168526159,0.5875924938679945,0.7815377514536391,20.453086302720315,1.6741268808942376,0.41741240915304084
c_11013,gru,0.06259470037108726,0.0894773994332175,0.06684316299253434,-0.2372858957184858,0.03706811289693803,2.817485622818244,4.06597439938477,10.966951293006106,11.254302503595474,2.1539157557908215
c_11013,zero,0.06184593234692281,0.08927347509601104,,-0.23165262541889065,4.211938028827115e-20,2.8167468922268153,4.065821973210855,10.961753258405905,11.255260100842946,2.1530436061558835
c_11013,persistence,0.05816835346855804,0.08451412204398465,,-0.10382931630468506,0.0,2.8119482508107687,4.060286348976373,10.935030376386328,11.24246372373349,2.148874000131454
c_11013,ridge,0.06260389377885307,0.08786831875845315,0.2522411621201711,-0.1931855613782898,0.18166397678542823,2.815585468744222,4.063243000100396,10.960513302318201,11.253030471895132,2.151966198833476
c_11087,gru,0.07003486428852804,0.12965660981835211,0.014636677131854878,-0.02293623838351344,0.04217425898771495,6.661940647527452,12.293254581008373,706.5567292056205,43.274509104980915,4.650261061953086
c_11087,zero,0.07026619577338734,0.12963264958006251,,-0.022558200867576872,2.6429558911870706e-20,6.662171979012311,12.293342183371186,706.3002224072463,43.27344823506113,4.650563393515124
c_11087,persistence,0.06716466181571891,0.1430606071971527,,-0.24537277852694483,0.0,6.600105344821043,12.281336357058693,690.4686006842002,43.356203747316144,4.5805394985301024
c_11087,ridge,0.07154954440291152,0.1317304375004828,0.02683053895570558,-0.05592119907175053,0.21581200013480437,6.659554661603587,12.292534011999363,702.7643407522938,43.272598371794025,4.647848963241475
c_11203,gru,0.052008247093380595,0.08038070305807003,0.007422765942740361,-0.12182050297786629,0.036147711020739236,1.5371190870753804,2.374964552022105,8.2647891779588,2.634915982150255,0.9620826182266365
c_11203,zero,0.0519664154242381,0.08029250803600103,,-0.11936009391151559,4.464472795833312e-20,1.5370801630575148,2.374921750772865,8.264600682160522,2.633907324189636,0.9625516500835464
c_11203,persistence,0.10882715693871094,0.13267550521122817,,-2.0563372339596904,0.0,1.5553645037594521,2.403184273997777,8.226596656388285,2.7115087239095637,0.9497651503474893
c_11203,ridge,0.048163838357732254,0.07865131783643009,0.2824993994092489,-0.07406800516397993,0.1697798864565911,1.5320381259321543,2.372266093079842,8.229620619006907,2.6308721252691285,0.9564584119937387
c_11307,gru,0.15275249545319852,0.2588920027395134,0.27884926351307904,0.012707162013705475,0.030993807160988603,2.6704769906342753,4.487114142017722,22.168886890960426,6.265077154809478,1.7245295790092219
c_11307,zero,0.155454960641608,0.2610427592864809,,-0.003764932462383408,1.3003631474106453e-20,2.6734148822955546,4.489374448928378,22.195186281550136,6.271983701625172,1.7264230877351285
c_11307,persistence,0.2063226027719218,0.2785626794130939,,-0.1430219714173835,1.5978862355382009e-16,2.697508720359044,4.483809208073793,22.668502771367173,6.157459959318371,1.7869952364223778
c_11307,ridge,0.15064259548568132,0.26086129747350384,0.09566409077906583,-0.0023698989696769868,0.10603006704460807,2.6658555552542134,4.4875634343401805,22.09350773330973,6.278123512162435,1.7152587244888924
c_11327,gru,0.0752362342547381,0.09370020820472702,-0.041853639550902835,-0.060765740027798776,0.05006154416314602,0.693177177753095,0.8619846502864418,11.194652697578517,1.18140792080012,0.6167073023360911
c_11327,zero,0.07513988870448123,0.09342937775476906,,-0.054642541776553255,3.724169862520748e-20,0.693107114804762,0.8618125081511971,11.191534398146253,1.178203036194971,0.6171282355508737
c_11327,persistence,0.10857058155398354,0.13132756095075135,,-1.0837716731149065,0.0,0.7069458663608811,0.8814497475420882,11.263315478086652,1.2516473694527313,0.6216311731055311
c_11327,ridge,0.07295181513827996,0.09102516215336051,0.29395447496011023,-0.0010627362747752667,0.1556040499655909,0.6905251138749202,0.8584469235814266,11.132967906471697,1.171542137632342,0.6151850981056854
c_11461,gru,0.03679022353505331,0.04922395825593078,0.27657449840762727,0.008525802726413012,0.0990800131736831,1.6116989705431404,2.1492218556651927,14.267558391926515,3.381390755883189,1.2308792192674336
c_11461,zero,0.0377313099256067,0.05030580321620298,,-0.03553438450456725,6.853690194510158e-20,1.6128920955057247,2.150525327715489,14.278495748994354,3.3858211076940745,1.2313757257943077
c_11461,persistence,0.07253845023453817,0.08200018249669182,,-1.7514269488217744,0.0,1.6101536936690168,2.1379122489772695,14.363414132480449,3.319872272190144,1.2422395691771286
c_11461,ridge,0.03388480486709563,0.04762272841004982,0.33219769466901944,0.07198094065105465,0.28402121556660365,1.6070259273268845,2.145995789365046,14.213763869293668,3.379538389306235,1.2255991950022143
c_11735,gru,0.05957360444225157,0.12402682868579533,0.049174005452540206,-0.23888709593021695,0.014223275557223861,2.1151529123378494,4.403524703870158,16.26859057339218,3.943415257355332,0.6318457267576281
