container_id,original_identity_holds,corrected_z_identity_holds,rra_sign,rra_original_space,corrected_space,orig_n_points,orig_max_abs_identity_error,orig_identity_holds,orig_mean_prophet,orig_mean_ridge_pred,orig_mean_remaining
c_15235,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.0029343857694274686,0.0006099809661776823,-0.003544366735605151
c_15282,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.028220833723843142,0.020044934106808646,-0.048265767830651785
c_15420,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,-0.05632632992780856,0.08704794119314829,-0.14337427112095683
c_15446,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.00763709515853877,0.005502778565611258,0.002134316592927511
c_15486,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.04924098778609036,-0.0822013299413935,0.13144231772748383
c_15527,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,150,0.0,True,0.1134838169665375,-0.0696575066631376,0.1831413236296751
c_15555,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,0.018438622601352987,0.021126273757750415,-0.002687651156397427
c_15570,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.001120938246872199,0.007888531777570339,-0.006767593530698137
c_15604,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.1745574723710511,-0.11516685928825844,0.2897243316593095
c_15616,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.045815694939511514,-0.01457828476395434,0.060393979703465855
c_15630,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.11550208536803179,-0.0021778778183134642,-0.11332420754971835
c_15640,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.0029128662766267225,-0.0776827385534987,0.074769872276872
c_15642,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.01063290884992649,-0.0005066942015050752,0.011139603051431564
c_15647,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.06349129555563897,-0.00842639761030203,-0.05506489794533695
c_15794,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.01031094854066644,-0.007230247025459168,-0.00308070151520727
c_15856,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,0.01244362829486155,-0.024646612451824316,0.03709024074668587
c_16008,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.2252130020645283,-0.047884490743707826,0.27309749280823614
c_16048,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.06876405533133806,-0.024697370751412602,0.09346142608275065
