band,mae,rmse,r2,pearson_r_within_trajectory,std_ratio,container_id
5-12,0.0794110773679206,0.09373355082706711,-0.21767295904297068,0.8212305007512056,0.030985956633001126,c_13170
13-24,0.06188722822193399,0.07877341647291942,-1.129633849892354,0.6717919211335959,0.06409749974250313,c_13170
25-48,0.0724060604857041,0.09587438451089525,-0.9480791303365208,-0.019499018244705534,0.03432496977149176,c_13170
49-96,0.07348685504912406,0.08797116367757918,-1.9159109205153961,0.154838690484312,0.07505269529134848,c_13170
1-4,0.10762193907709552,0.13359462806562683,0.028713506605685946,0.6436302274900187,0.03203937131721797,c_13229
5-12,0.12686388576211244,0.16622883378054856,-0.06675196762945546,-0.045650048880830074,0.042116394451550625,c_13229
13-24,0.09943378410019343,0.11732420952231942,0.1595823039610743,0.8135739267764295,0.10518196673694029,c_13229
25-48,0.06975520721748946,0.09418201643499767,-0.20046068578015608,-0.06670521944985082,0.09270319632565158,c_13229
49-96,0.2098084543429867,0.39283698846546455,-0.27209048374739697,0.2525985216463534,0.04805051807104416,c_13229
1-4,0.1981088179132135,0.2384147090857321,-0.037944175634377686,-0.4376488160813149,0.0412923584477478,c_13269
5-12,0.22638325135368115,0.2470519764172703,0.005878872631001064,0.28553694468851365,0.01104454980437831,c_13269
13-24,0.0900857199308213,0.1164567911806437,0.013768199012410665,0.13001789714017242,0.07681948786207865,c_13269
25-48,0.132264571399592,0.17581396623237797,0.007461535823444776,0.3161857393408343,0.026464941067025387,c_13269
49-96,0.12123747910234976,0.15244498542861373,0.010111719268199981,0.15492776634348132,0.0719513537757391,c_13269
1-4,0.005828440866703353,0.00589843391686789,-1285.7174141411283,0.3910887239796851,5.823318396297986,c_13308
