container_id,origin_index,ph_statistic,ph_alarm,ph_lambda
c_16048,488,0.41331070227337663,False,50.0
c_10032,584,0.7269312713112352,False,50.0
c_10034,584,2.7149596145503043,False,50.0
c_10089,584,0.10662791444736897,False,50.0
c_10132,584,0.17394028406866036,False,50.0
c_1016,584,0.13621048453115692,False,50.0
c_10306,584,0.01323923898712515,False,50.0
c_10312,584,0.3104332882725269,False,50.0
c_10382,584,0.10790004404787813,False,50.0
c_10393,584,0.9388738140940261,False,50.0
c_10641,584,0.5952839287730441,False,50.0
c_10695,584,0.07792897629838647,False,50.0
c_10733,584,0.7054851910998384,False,50.0
c_10878,584,0.06119753509068111,False,50.0
c_10898,584,0.028233443846110044,False,50.0
c_11013,584,1.2440814247884022,False,50.0
c_11087,584,2.4862662556607065,False,50.0
c_11203,584,1.6291614419786893,False,50.0
c_11307,584,0.654981881814125,False,50.0
c_11327,584,0.17548566275842326,False,50.0
c_11461,584,0.2521162545224591,False,50.0
c_11735,584,0.7170876065923152,False,50.0
c_11752,584,0.10863047964270556,False,50.0
c_1181,584,2.007258055777635,False,50.0
c_1186,584,1.0199591783871838,False,50.0
c_11996,584,1.8632885342339027,False,50.0
c_12060,584,0.07473001976131578,False,50.0
c_12158,584,1.1992428697854896,False,50.0
c_12164,584,0.20445854678251907,False,50.0
c_12174,584,0.043771594409007915,False,50.0
c_12189,584,0.07655546103572097,False,50.0
c_12193,584,0.08148154342046943,False,50.0
c_12231,584,7.036462501343299,False,50.0
c_12237,584,24.802764002132815,False,50.0
c_12441,584,1.4371392021395375,False,50.0
c_12517,584,1.7607256925196637,False,50.0
c_12624,584,0.03806034939102421,False,50.0
c_12767,584,0.1350091460493672,False,50.0
c_12858,584,0.10307065778200604,False,50.0
c_1286,584,0.13339525921178824,False,50.0
c_12971,584,0.12399182061632852,False,50.0
c_12974,584,0.05529889216431229,False,50.0
c_12993,584,1.669635927889928,False,50.0
c_12999,584,0.7857707845490937,False,50.0
c_13020,584,0.1640219868801127,False,50.0
c_13044,584,0.08651643717746779,False,50.0
c_13083,584,0.15392745579503075,False,50.0
