container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_forecast_mae_scaled,delta_forecast_rmse_scaled,delta_forecast_pearson_r,delta_forecast_r2,delta_forecast_std_ratio,memory_score,memory_class,pct_capture_within_96,pct_capture_within_192,pct_capture_within_288,acf_lag_96,acf_lag_192,acf_lag_288,integrated_autocorr_time,decorrelation_lag_0p1
c_13389,g96,g288,3.033906211214208,3.4438247868435568,11.131056273230694,0.05653241428667451,0.0641706486331538,-0.02031657144569532,-0.2357212747876194,-0.06730059825581003,0.626479219635441,medium,0.3735207803645591,0.5939420267029087,0.7147491666595579,0.7343063437289656,0.4896965125179326,0.34465507116715494,0.493834562606827,25.0
c_13403,g96,g288,-0.02123535747329386,0.018906916734591883,-1.413528988413594,-0.0030336227844512953,0.0027009854729114907,-0.0450477534200713,-0.09113375930606099,0.20007646894173028,0.6792588522914784,high,0.3207411477085215,0.5285814823572594,0.7048929658875703,-0.004601365181316718,-0.04334797444511362,-0.04402507153224347,0.044848135454715554,2.0
c_13441,g96,g288,0.31122521261374203,0.47593779122277713,2.26728963432039,0.015561256649283095,0.023796886008574006,-0.0007789191714928645,-0.08793712987766811,-0.015671678606159256,0.6631571155224341,high,0.3368428844775659,0.576701820773651,0.7424654749022233,0.7818817486971881,0.6534274558357481,0.5268853767027025,0.896769632091921,22.0
c_13607,g96,g288,0.08106454848139366,0.04447247791211506,1.6392310890974926,0.005790324314995099,0.003176604931954541,-0.11724570488827481,-0.027213412861798236,-0.011825496310114897,0.2590336203168304,low,0.7409663796831696,0.7681386807940906,0.8442399931473692,-0.0018455876428079153,0.03343634099906979,-0.011576426799038008,0.3907112012660807,11.0
c_13615,g96,g288,-0.03748094124926471,0.16187108755810575,-0.7456907090486453,-0.0004462009419320019,0.001927037804038502,-0.0908092117105746,-0.07234793159211009,-0.0659750805367102,0.44933476470037614,low,0.5506652352996239,0.6798267744063252,0.7296099667661192,0.08535962216934637,0.023263987391757054,0.008273079647053212,-0.1395989918612468,14.0
c_13658,g96,g288,0.0014389049675727072,0.03477435903161652,-0.5996607111024055,0.00023981226884101092,0.005795726591725003,0.016702779134549102,-0.028659891250570488,0.008391833282036715,0.6079615786499901,low,0.3920384213500099,0.6205714000543222,0.768018553116022,0.16464661784794699,0.1248276361542335,0.098736892120574,0.5108917210109749,12.0
c_13690,g96,g288,0.09395401544041104,0.113269039674464,3.268053524707568,0.0026098340101552014,0.003146362833946703,-0.08473595410063905,-0.07200399535929511,-0.041521629690852324,0.6588231386246868,medium,0.3411768613753133,0.5560557140437806,0.7079216778007495,0.3869256129011974,0.26397788724128834,0.2254934468052508,-0.26333982024272484,12.0
c_1379,g96,g288,0.015812272117251502,0.013298746223214142,0.6137684208385785,0.002635375348969307,0.0022164559120236987,-0.1304500770669608,-0.055934315077634605,0.009529045978886624,0.6944435926257013,high,0.3055564073742987,0.476436528633276,0.7216610023602401,0.03722569611870751,0.05959061153234738,0.043318076987811927,0.07600574441517172,3.0
c_1387,g96,g288,0.10597280371520251,0.17769862641001444,2.7571912275769854,0.0044155324792007,0.007404108461712501,-0.296389023156828,-0.6813740149535692,0.007119227505490433,0.6301034049614822,medium,0.3698965950385178,0.6067915822524406,0.785694190836628,0.11867084994572784,0.10646911326088383,0.07872621584382383,0.0657020524709836,8.0
c_13873,g96,g288,0.07018174976110436,0.023269603743398815,1.616535953625327,0.010025966712938872,0.0033242284293131252,0.0643409751976623,-0.017308401169384313,0.0059666305457265895,0.19034243948917073,low,0.8096575605108293,0.8270537929025777,0.8500138782852392,0.02277343249066334,-0.0203019782237826,-0.01133838416128812,0.5546602613662195,18.0
